Question,Answer,Correctness,Lesson,Comment
Что такое тест-дизайн?,"это процесс создания уникальных и оригинальных тестовых заданий, не имеющих аналогов.",0,1-4,"Это неправильно. Цель тест-дизайна - разработка эффективных и репрезентативных тестов, которые позволят проверить функциональность или качество продукта."
Что такое тест-дизайн?,"Тест-дизайн - это анализ результатов тестирования для определения того, какие тесты были наиболее успешными, а какие - менее эффективными.",0,1-4,"Не совсем. Тест-дизайн скорее связан с планированием и разработкой тестов, а анализ результатов обычно выполняется на этапе тестирования."
Задачи тест-дизайна на проекте,"максимально покрыть функциональность тестами, обнаружить серьёзные баги, сократить количество тестов, исключив непродуктивные, не пропустить важные тесты",1,1-4,
Задачи тест-дизайна на проекте,"Задача тест-дизайна состоит в тщательном планировании тестового процесса для максимального охвата функциональности, обнаружения серьезных ошибок, оптимизации количества тестов путем исключения непродуктивных и обеспечения проведения всех важных тестов",1,1-4,
Задачи тест-дизайна на проекте,Создание привлекательных и креативных дизайнов для тестовых отчетов и протоколов,0,1-4,"Это неправильно, потому что задачи тест-дизайна связаны с планированием и разработкой тестов, а не с визуальным оформлением отчетов."
Задачи тест-дизайна на проекте,Оценка эффективности тестирования посредством анализа тенденций в отчетах о багах.,0,1-4,"Неверно. Это скорее задача управления качеством или аналитики тестирования, а не тест-дизайна, который фокусируется на разработке самих тестов."
Задачи тест-дизайна на проекте,Создание гибких и масштабируемых тестовых инфраструктур для автоматизации тестирования.,0,1-4,"Это больше относится к инженерии тестирования или разработке инфраструктуры, чем к задачам тест-дизайна, которые ориентированы на планирование и создание тестов."
Задачи тест-дизайна на проекте,Определение приоритетов тестирования на основе статистического анализа прошлых релизов.,0,1-4,"Неправильно. Это скорее задача управления тестированием или аналитики, а не тест-дизайна, который фокусируется на создании тестовых случаев."
Задачи тест-дизайна на проекте,Разработка дизайна пользовательского интерфейса для тестовых средств и инструментов.,0,1-4,"Неверно. Это ближе к дизайну пользовательского опыта (UX) или разработке, а не к задачам тест-дизайна, которые ориентированы на создание тестовых сценариев."
Задачи тест-дизайна на проекте,Планирование сеансов обучения для тестировщиков по использованию новых тестовых инструментов.,0,1-4,"Это скорее задача обучения или управления проектами, а не тест-дизайна, который фокусируется на разработке сценариев тестирования."
В чем заключается техника граничных значений?,проверка поведения продукта на граничных значениях входных данных,1,1-4,
В чем заключается техника граничных значений?,"Техника граничных значений в тестировании используется для выбора тестовых данных, которые лежат на границах различных классов эквивалентности. Она основана на предположении, что ошибки в программном обеспечении чаще всего возникают именно на границах диапазонов входных данных.",1,1-4,
В чем заключается техника граничных значений?,"Техника граничных значений - это методика, которая заключается в выборе случайных значений на границах структур данных для тестирования.",0,1-4,"Это неправильно, потому что техника граничных значений предполагает выбор значений, находящихся именно на границах диапазонов, а не случайных."
В чем заключается техника граничных значений?,"Это метод, при котором входные данные для тестирования выбираются только из заранее определенных крайних значений без учета остальных случаев.",0,1-4,"Нет, такой подход ограничивает охват тестирования только граничными случаями, что может упустить другие возможные проблемы."
В чем заключается техника граничных значений?,"Техника граничных значений - это процесс, при котором тестировщики оценивают важность тестовых кейсов на основе их применения к критическим функциям программного обеспечения.",0,1-4,"Неправильно. Это описывает процесс приоритизации тестов, а не технику граничных значений, которая связана с выбором конкретных значений для тестирования."
В чем заключается техника граничных значений?,"Это метод, при котором тестировщики фокусируются только на значениях, находящихся за пределами допустимых диапазонов входных данных.",0,1-4,"Нет, техника граничных значений направлена на выбор значений именно на границах допустимых диапазонов, а не за их пределами."
В чем заключается техника граничных значений?,"Техника граничных значений - это подход, при котором тестирование проводится только на крайне малых или крайне больших значениях, игнорируя промежуточные.",0,1-4,"Неправильно. Это ограничивает охват тестирования и может пропустить потенциальные проблемы, которые могут возникнуть именно на границах."
В чем заключается техника граничных значений?,"Это методика, при которой тестировщики уделяют особое внимание только тем тестовым случаям, которые необходимы для покрытия критически важных функций программы.",0,1-4,"Не совсем. Это описывает подход выбора тестов на основе приоритетов, в то время как техника граничных значений фокусируется на конкретных значениях входных данных."
В чем заключается техника попарного тестирования?,"техника формирования наборов тестовых данных, при которой каждое тестируемое значение каждого из проверяемых параметров хотя бы раз сочетается с каждым из тестируемых значений всех остальных проверяемых параметров.",1,1-4,
В чем заключается техника попарного тестирования?,"Техника попарного тестирования - это методика, при которой все возможные комбинации входных параметров тестируются попарно, то есть каждая пара параметров встречается хотя бы один раз в тестовом наборе. ",1,1-4,
В чем заключается техника попарного тестирования?,"Техника попарного тестирования - это метод, при котором каждый тестовый случай повторяется дважды для подтверждения его надежности.",0,1-4,"Это неправильно. Попарное тестирование не предполагает дублирования тестовых случаев, а сконцентрировано на проверке всех возможных комбинаций параметров по одному разу."
В чем заключается техника попарного тестирования?,"Это подход, при котором тестировщики выбирают только пары тестируемых элементов, исключая все остальные.",0,1-4,"Нет, техника попарного тестирования включает в себя тестирование всех возможных комбинаций пар параметров, а не их исключение."
В чем заключается техника попарного тестирования?,"Техника попарного тестирования - это метод, при котором каждый параметр тестируется в изоляции от других, чтобы выявить их воздействие на результаты.",0,1-4,"Неправильно. Попарное тестирование, наоборот, ориентировано на тестирование взаимодействия параметров между собой, а не на их изоляцию."
В чем заключается техника попарного тестирования?,"Это стратегия, при которой тестировщики создают тестовые случаи, в которых каждый параметр изменяется только по одному значению.",0,1-4,"Нет, в попарном тестировании каждый параметр может принимать любое значение в сочетании с другими параметрами, что позволяет сократить количество тестовых случаев."
В чем заключается техника попарного тестирования?,"Техника попарного тестирования - это метод, при котором проводится проверка только на наличие парных дефектов в программном обеспечении.",0,1-4,"Неправильно. Попарное тестирование направлено на обнаружение проблем, связанных с взаимодействием параметров, а не только на парные дефекты."
В чем заключается техника попарного тестирования?,"Это подход, при котором каждый тестовый случай включает в себя только два параметра для проверки их взаимосвязи.
",0,1-4,"Нет, в попарном тестировании каждый тестовый случай включает в себя комбинацию двух параметров из всех доступных, чтобы оценить взаимодействие всех пар параметров."
Для чего нужны таблицы принятия решений?,"Таблицы принятия решений используют, чтобы упорядочить и задокументировать сложную логику приложения, а также протестировать все комбинации условий и состояний. ",1,1-4,
Для чего нужны таблицы принятия решений?,Таблицы принятия решений используются для систематического анализа различных альтернативных вариантов и выбора оптимального решения в соответствии с заранее определенными критериями.,1,1-4,
Для чего нужны таблицы принятия решений?,"Таблицы принятия решений используются для создания красивых и информативных диаграмм, которые помогают визуализировать процесс принятия решений.",0,1-4,"Это неправильно. Таблицы принятия решений скорее предназначены для структурирования и анализа данных, а не для создания диаграмм."
Для чего нужны таблицы принятия решений?,Они нужны для автоматического принятия решений без участия человека на основе заранее заданных правил.,0,1-4,"Нет, таблицы принятия решений обычно предназначены для помощи людям в принятии обоснованных решений, а не для автоматического принятия."
Для чего нужны таблицы принятия решений?,Они нужны для проведения социологических исследований и анализа мнений группы людей с целью принятия решений.,0,1-4,"Неправильно. Это описание методов социологических исследований и коллективного принятия решений, а не таблиц принятия решений."
Для чего нужны таблицы принятия решений?,"Они служат для оценки критериев, не связанных с принятием решений, таких как производственные показатели или финансовые результаты.",0,1-4,Неправильно. Таблицы принятия решений включают в себя оценку различных альтернатив и их соответствие заранее определенным критериям.
Для чего нужны таблицы принятия решений?,Такие таблицы используются для организации рабочего процесса в команде и управления временем.,0,1-4,"Нет, это скорее характеристики других инструментов или методов управления проектами, а не таблиц принятия решений."
Для чего нужны таблицы принятия решений?,Они предназначены для сохранения и анализа истории принятых решений с целью изучения прошлых ошибок и определения уроков на будущее.,0,1-4,"Неправильно. Это описывает методики управления знаниями или управления качеством, а не таблицы принятия решений."
Возможно ли исчерпывающее (полное тестирование)?,Скорее нет,1,1-1,
Возможно ли исчерпывающее (полное тестирование)?,К этому нужно стремиться,0,1-1,
Возможно ли исчерпывающее (полное тестирование)?,Возможно,0,1-1,
Возможно ли исчерпывающее (полное тестирование)?,Да,0,1-1,
Возможно ли исчерпывающее (полное тестирование)?,"Полное тестирование с использованием всех комбинаций вводов и предусловий физически невыполнимо, кроме тривиальных случаев. Вместо исчерпывающего тестирования используется анализ рисков и расстановка приоритетов, чтобы точнее сфокусировать усилия по тестированию.",1,1-1,
Возможно ли исчерпывающее (полное тестирование)?,Глобально нет,1,1-1,
Возможно ли исчерпывающее (полное тестирование)?,Невозможно,1,1-1,
Возможно ли исчерпывающее (полное тестирование)?,Выполнимо,0,1-1,
Возможно ли исчерпывающее (полное тестирование)?,Может быть выполнимо только в очень маленьких проектах.,1,1-1,
Возможно ли исчерпывающее (полное тестирование)?,"Полное тестирование возможно для любого проекта, просто нужно потратить на это больше времени и ресурсов.",0,1-1,
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,это может быть обязательным требованием для работы с платформой,1,2-3,
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,Для увеличения объема программы,0,2-3,"Неверно. Интеграция SDK обычно не увеличивает размер программы, если не учитывать размер самого SDK. Она скорее направлена на добавление дополнительной функциональности."
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,Для улучшения производительности приложения,0,2-3,"Неправильно. Интеграция SDK не всегда направлена на улучшение производительности приложения, хотя в некоторых случаях SDK может предоставлять оптимизированные решения."
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,Для создания бэкапов данных,0,2-3,Неверно. Интеграция SDK обычно не связана с созданием бэкапов данных. Эта функциональность может быть реализована отдельно от интеграции SDK.
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,"Во-первых, это может быть обязательным требованием для работы с платформой. Например, наша команда решила, что мы будем собирать статистику по нашему проекту, используя Adjust. Для того чтобы подключить этот сервис, нам обязательно нужно интегрировать их SDK. Только после этого платформа может понять, какие данные и по каким приложениям собирать.
Во-вторых, это облегчает и ускоряет процесс разработки и тестирования. Представим, что у нас в приложении есть встроенные покупки. И вместо того, чтобы самостоятельно разрабатывать систему, которая будет обрабатывать и принимать платежи (а это довольно объёмная и сложная задача), мы интегрируем SDK платформы, на которой выпускаем приложение (пусть будет Google Play и App Store). Таким образом, мы будем использовать инструмент, который создавался сторонней компанией, уже протестирован и, что немаловажно, — выпускает обновления.
В-третьих, у крупных платформ есть саппорт. К нему разработчики могут обратиться, когда возникают какие-то сложности с интеграцией, или если необходимые функции не работают как надо.",1,2-3,Правильным будет считаться хотя бы 1 пункт.
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,Для затруднения доступа к данным в нашем приложении.,0,2-3,Правильным будет считаться хотя бы 1 пункт.
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,Чтобы усложнить процесс обновления приложения.,0,2-3,Правильным будет считаться хотя бы 1 пункт.
Зачем мы интегрируем SDK в наши программы? Напишите хотя бы одну причину.,Для создания дополнительной сложности в разработке.,0,2-3,Правильным будет считаться хотя бы 1 пункт.
Зачем мы используем App Store Connect?,"С помощью App Store Connect мы настраиваем наше приложение для App Store, который распространяет приложения для iOS и MacOS.",1,2-3,
Зачем мы используем App Store Connect?,Мы используем App Store Connect для управления нашими приложениями в App Store,1,2-3,
Зачем мы используем App Store Connect?,Для проведения маркетинговых кампаний и рекламы,0,2-3,Неверно. App Store Connect не используется для проведения маркетинговых кампаний и рекламы. Он предназначен для управления приложениями и их публикации в App Store.
Зачем мы используем App Store Connect?,Для разработки и тестирования приложений,0,2-3,"Неправильно. App Store Connect не предназначен для разработки и тестирования приложений, это инструмент для управления приложениями в App Store."
Зачем мы используем App Store Connect?,Для обучения и поддержки разработчиков при создании приложений,0,2-3,Неправильно. App Store Connect не является платформой для обучения и поддержки разработчиков при создании приложений. Это инструмент для управления приложениями в App Store.
